Date,Temperature_C,Rainfall_mm,Humidity_pct,Year,Month,Season,Temp_30d_Avg,Anomaly
2000-01-01,17.99,2.93,80.0,2000,1,Winter,,1
2000-01-02,16.72,1.45,13.0,2000,1,Winter,,-1
2000-01-03,18.3,1.31,75.0,2000,1,Winter,,1
2000-01-04,20.05,0.19,77.0,2000,1,Winter,,1
2000-01-05,16.54,0.93,28.0,2000,1,Winter,,1
2000-01-06,16.54,0.75,61.0,2000,1,Winter,,1
2000-01-07,20.17,4.04,53.0,2000,1,Winter,,1
2000-01-08,18.55,1.38,57.0,2000,1,Winter,,1
2000-01-09,16.08,0.86,63.0,2000,1,Winter,,1
2000-01-10,18.11,1.9,65.0,2000,1,Winter,,1
2000-01-11,16.1,0.17,39.0,2000,1,Winter,,1
2000-01-12,16.11,0.02,84.0,2000,1,Winter,,1
2000-01-13,17.53,1.17,53.0,2000,1,Winter,,1
2000-01-14,13.23,0.1,99.0,2000,1,Winter,,-1
2000-01-15,13.61,0.12,46.0,2000,1,Winter,,1
2000-01-16,23.94,1.37,44.0,2000,1,Winter,,1
2000-01-17,15.05,0.32,65.0,2000,1,Winter,,1
2000-01-18,17.72,0.99,73.0,2000,1,Winter,,1
2000-01-19,15.28,2.49,79.0,2000,1,Winter,,1
2000-01-20,14.29,0.38,45.0,2000,1,Winter,,1
2000-01-21,20.05,0.24,55.0,2000,1,Winter,,1
2000-01-22,16.68,0.11,88.0,2000,1,Winter,,1
2000-01-23,17.28,0.14,54.0,2000,1,Winter,,1
2000-01-24,14.31,0.06,73.0,2000,1,Winter,,1
2000-01-25,16.09,0.09,32.0,2000,1,Winter,,1
2000-01-26,17.41,0.57,36.0,2000,1,Winter,,1
2000-01-27,14.9,0.39,74.0,2000,1,Winter,,1
2000-01-28,17.97,1.23,58.0,2000,1,Winter,,1
2000-01-29,16.03,2.04,71.0,2000,1,Winter,,1
2000-01-30,16.67,1.54,51.0,2000,1,Winter,16.976666666666667,1
2000-01-31,16.07,0.76,35.0,2000,1,Winter,16.912666666666667,1
