Date,Temperature_C,Rainfall_mm,Humidity_pct
2000-01-01,17.99,2.93,80.0
2000-01-02,16.72,1.45,13.0
2000-01-03,18.3,1.31,75.0
2000-01-04,20.05,0.19,77.0
2000-01-05,16.54,0.93,28.0
2000-01-06,16.54,0.75,61.0
2000-01-07,20.17,4.04,53.0
2000-01-08,18.55,1.38,57.0
2000-01-09,16.08,0.86,63.0
2000-01-10,18.11,1.9,65.0
2000-01-11,16.1,0.17,39.0
2000-01-12,16.11,0.02,84.0
2000-01-13,17.53,1.17,53.0
2000-01-14,13.23,0.1,99.0
2000-01-15,13.61,0.12,46.0
2000-01-16,23.94,1.37,44.0
2000-01-17,15.05,0.32,65.0
2000-01-18,17.72,0.99,73.0
2000-01-19,15.28,2.49,79.0
2000-01-20,14.29,0.38,45.0
2000-01-21,20.05,0.24,55.0
2000-01-22,16.68,0.11,88.0
2000-01-23,17.28,0.14,54.0
2000-01-24,14.31,0.06,73.0
2000-01-25,16.09,0.09,32.0
2000-01-26,17.41,0.57,36.0
2000-01-27,14.9,0.39,74.0
2000-01-28,17.97,1.23,58.0
2000-01-29,16.03,2.04,71.0
2000-01-30,16.67,1.54,51.0
2000-01-31,16.07,0.76,35.0
2000-02-01,20.99,0.11,61.0
2000-02-02,17.28,1.24,39.0
2000-02-03,15.21,0.45,62.0
2000-02-04,18.99,0.09,46.0
2000-02-05,14.92,1.85,70.0
2000-02-06,17.8,0.41,56.0
2000-02-07,13.49,0.25,55.0
2000-02-08,14.77,2.05,65.0
2000-02-09,17.85,2.32,74.0
2000-02-10,18.95,0.41,63.0
2000-02-11,17.84,0.44,87.0
2000-02-12,17.29,0.87,86.0
2000-02-13,16.95,1.32,49.0
2000-02-14,14.62,0.07,43.0
2000-02-15,16.16,0.9,42.0
2000-02-16,16.7,3.05,87.0
2000-02-17,19.77,0.3,42.0
2000-02-18,18.37,2.39,54.0
2000-02-19,14.18,3.0,60.0
2000-02-20,18.39,0.31,87.0
2000-02-21,17.0,1.4,40.0
2000-02-22,16.44,0.27,76.0
2000-02-23,19.05,1.34,60.0
2000-02-24,19.92,1.6,58.0
2000-02-25,19.75,0.28,60.0
2000-02-26,16.24,1.26,49.0
2000-02-27,17.33,1.67,54.0
2000-02-28,18.65,0.44,49.0
2000-02-29,19.97,0.18,40.0
2000-03-01,25.09,0.1,42.0
2000-03-02,17.72,0.86,78.0
2000-03-03,15.91,3.82,55.0
2000-03-04,15.76,1.73,70.0
2000-03-05,19.82,0.57,57.0
2000-03-06,20.94,0.77,57.0
2000-03-07,18.12,0.33,59.0
2000-03-08,20.31,0.18,71.0
2000-03-09,19.06,0.66,50.0
2000-03-10,17.09,0.62,58.0
2000-03-11,19.14,0.74,74.0
2000-03-12,21.53,3.05,76.0
2000-03-13,18.43,0.93,82.0
2000-03-14,21.67,0.93,46.0
2000-03-15,13.34,0.14,50.0
2000-03-16,20.26,5.65,57.0
2000-03-17,18.84,1.48,40.0
2000-03-18,18.11,2.1,73.0
2000-03-19,18.93,0.53,64.0
2000-03-20,14.82,0.7,58.0
2000-03-21,18.4,0.74,75.0
2000-03-22,19.59,0.22,49.0
2000-03-23,21.88,1.17,77.0
2000-03-24,17.93,2.33,86.0
2000-03-25,17.4,0.18,65.0
2000-03-26,18.06,0.09,60.0
2000-03-27,20.94,1.34,63.0
2000-03-28,19.81,0.32,39.0
2000-03-29,18.14,0.98,57.0
2000-03-30,20.27,1.19,91.0
2000-03-31,19.49,0.39,92.0
2000-04-01,21.28,1.69,61.0
2000-04-02,17.99,0.8,52.0
2000-04-03,18.79,2.03,75.0
2000-04-04,18.71,1.44,59.0
2000-04-05,16.62,2.03,74.0
2000-04-06,20.18,0.02,49.0
2000-04-07,20.17,0.28,65.0
2000-04-08,19.71,0.09,55.0
2000-04-09,19.28,0.58,60.0
2000-04-10,16.97,2.21,51.0
2000-04-11,19.01,0.63,58.0
2000-04-12,19.22,1.9,65.0
2000-04-13,18.35,0.4,70.0
2000-04-14,19.69,0.41,58.0
2000-04-15,20.87,2.26,82.0
2000-04-16,23.89,0.55,41.0
2000-04-17,20.52,1.56,38.0
2000-04-18,20.74,0.27,51.0
2000-04-19,20.14,2.97,60.0
2000-04-20,16.5,0.85,84.0
2000-04-21,20.34,1.42,57.0
2000-04-22,20.57,0.09,46.0
2000-04-23,25.44,0.68,50.0
